inclusive	56	65	Easter occurs on a Sunday between March 22 and April 25 inclusive.
often	15	20	American words often omit the letter "u" from some English words.
located	6	13	It is located in the northern and eastern parts of the country.
located	42	49	More 500 famous universities of China are located in Beijing.
small	14	19	A bottle is a small container used to carry liquid.
strawberry	18	28	Some examples are strawberry, raspberry, blueberry, and lingonberry.
mysterious	11	21	Black is a mysterious color associated with fear and the unknown (black holes).
might	24	29	Symptom of this disease might include cough, fever, and black spots on the skin.
very	67	71	Biology as a science has existed for hundreds of years, and it has very many research field and branch.
area	38	42	Brazil has the world's largest forest area, the Amazon Rainforest, which makes up 40% of the country's land.
second	23	29	Brazil has the world's second largest forest, the Amazon Rainforest, which makes up 40% of the country's land.
in	91	93	People in Brazil speak Portuguese and  it is the only country in Latin America that speaks in Portuguese; most of the others speak  Spanish.
and	30	33	Brazil is the largest country and in South America and the largest economy in Latin America.
very	72	76	Indigenous languages as Guarani and Aymará are the first languages of a very small number of Brazilians.
incorrectly	17	28	Britain is often incorrectly used as a short name for the United Kingdom (of Great Britain and Northern Ireland).
cornish	6	13	(Some cornish people say that Cornwall is a fourth country.
all	57	60	Chemists make new drugs and materials like paint that we all use every day.
science	45	52	It has roots in electrical engineering, math science and language science, and one can think of it as a mix of science, engineering and art.
reasoning	50	59	A computer scientist will need math, science, and reasoning know-how to make and use computers.
probably	16	24	A computer will probably answer these kind of questions much faster.
of	24	26	He must now think about of how he will do it.
very	13	17	A simple but very slow algorithm could be: drop the cards, pick them up, and check whether they are sorted.
also	12	16	Some people also think that computers are less useful if they do not have access to the Internet.
of	34	36	Communication is how people share of information.
just	15	19	Some blogs are just used by companies to sell things.
at	24	26	What computers are good at Computers can be used for many things.
like	53	57	A person uses a computer by telling it to do things, like play movies or go to Wikipedia.
too	42	45	Over time these machines became computers too.
also	10	14	Computers also have existed for much of human history.
rule	58	62	A computer is a machine that max feeney is obsessed with  rule.
can	5	8	They can do mathematical arithmetic very quickly but computers do not really "think".
the	13	16	He called it the "The Analytical Engine".
fake	58	62	Computers can be designed to do anything with information fake .
people	28	34	That took a lot of time and people made mistakes.
in	29	31	It is a digital machine used in all fields.
easily	17	23	People get bored easily doing the same thing over and over.
also	19	23	Many computers can also store and retrieve information using hard drives.
connected	17	26	Computers can be connected together to form networks, allowing connected computers to communicate with each other.
computers	54	63	Some examples are controlling traffic lights, vehicle computers, security systems, washing machines and digital televisions.
one	41	44	It has 50,000 different characters, each one made of different lines, called strokes.
most	4	8	The most popular way to use a computer keyboard to type Chinese is called Pinyin.
also	5	9	Some also say that Europe and Asia are only parts of a continent called Eurasia.
the	31	34	Many of its lands were lost to the Russia, the British, the Japanese, and other strong countries.
martial	55	62	Regardless, China has brewed some of the most renowned martial artists including Wong Fei Hung (Huang Fei Hung or Hwang Fei Hung) and many others.
will	49	53	On the first day of the Spring Festival , people will call on friends and relatives.
will	22	26	On this day, the moon will become the full moon.
will	7	11	People will go out and watch the lantern festivals everywhere.
will	19	23	They hope the fish will eat these dumplings instead of the poet's corpse.
often	110	115	Its land area has mostly looked like that of modern China, except with northern and western edges that varied often.
two	41	44	In 1945, after the United States dropped two atomic bombs on Hiroshima and Nagasaki, Japan surrendered.
meal	47	51	Legendary and controversial moves like Big Mak meal are also praised and talked about within the culture.
scary	11	16	- A little scary.
here	14	18	What happened here?
that	4	8	See that?
going	14	19	Where are you going?
happened	5	13	What happened?
goodness	7	15	Oh, my goodness!
place	13	18	What is this place?
named	52	57	The crusade became known as the Albigensian crusade named after the town of Albi.
sin	30	33	This was an absolution of all sin.
our	89	92	Worldwide, most people believe that a divine being, or Creator, was or is still creating our universe.
small	55	60	Over the triforium is the clerestory which is a row of small windows high up in the church wall.
into	69	73	If the city got too big, it was hard for a cart carrying food to get into to the market place.
local	28	33	A centre where business and local government takes place.
little	44	50	An oven is a part of a stove that is like a little box.
also	4	8	Ray also says words cannot be used to model reality or our universe at all.
are	15	18	Since pi and 2 are do not change, the radius is the independent variable.
the	14	17	Calculus uses the two main ideas.
dy	40	42	He called the resulting change in f(x) "dy", which means "a tiny amount of y".
the	24	27	In the 1950s and 1960s, the comedian Jerry Lewis also used silly slap stick comedy in his comedy movies.
just	31	35	In "slap stick comedy," people just do silly things such as tripping, falling over or embarrassing themselves just to make people laugh.
us	47	49	Non-periodic or single-apparition comets visit us only once.
issue	36	41	Christians often disagree over this issue due to their differences in opinion on spiritual matters.
have	7	11	People have store cheese in a refrigerator, to make sure it doesn't go bad.
on	55	57	How much fat is in the cheese What color the cheese is on  There are also man-made foods that some people use instead of cheese.
diabetic	45	53	For some cheeses, the milk is curd by adding diabetic acid such as vinegar or lemon juice.
the	10	13	jpgcheese the Cheese is milk made into a solid form that is edible.There are many types of cheese, such as cheddar, Swiss, and provolone.
today	21	26	But Britain is still today one of the only countries in the world with no constitution that is in writing.
very	81	85	When a country has a good constitution and its government obeys the constitution very carefully, this situation is described as rule of law.
also	46	50	The constitution of a country (or a state) is also a special type of law that tells how its government is supposed to work.
located	25	32	Cuba is a small country, located to the south of the United States.
that	79	83	History Early history Before Cuba was conquered by the Spaniards, three tribes that lived on the island were the Taínos, the Ciboneys, and the Guanajatabeyes.
its	27	30	Culture Cuba is famous for its many types of music, especially dance music such as Salsa and Mambo.
banana	25	31	The Taínos also slept in banana hammocks which the Spaniards would introduce to the rest of the world.
big	70	73	If normal Cuban people try to shop at those stores, they may get into big trouble.
also	12	16	Many Cubans also went to America because of this.
in	37	39	The Soviet Union put nuclear weapons in Cuba and aimed them at the United States.
both	3	7	In both leap years and years immediately after that, December both starts and finishes on the same day of the week as January of the previous year.
both	41	45	Oscar Wilde and George Bernard Shaw were both born in Dublin.
also	9	13	Dance is also an art.
other	39	44	It can be used by people who speak any other language.
very	26	30	The opposite of diarrhea, very firm feces are a sign of good digestive health.
real	66	70	Dimensions in mathematics might not be connect with things in the real world.
north	11	16	John walks north at 6 kilometre per hour for one hour.
pronounced	26	36	It will explain how it is pronounced.
alphabetical	26	38	The words are arranged in alphabetical order so that they can be found quickly.
strangest	35	44	The western part of Denmark is the strangest peninsula of Jutland (pronounced yut-land), bordering Germany.
have	68	72	he has two sons: Prince Nikolai Prince Felix In 2008 Prince Joachim have married for the second time.
very	13	17	Denmark is a very developed country with a large welfare state;nameEsping-Andersen.
probably	44	52	Denmark's most famous classical composer is probably  Carl Nielsen.
things	15	21	Not all humans things die.
slang	28	33	the term gone may also be a slang term for describing death.
far	29	32	The Atlantic Ocean is to the far west of Europe.
beautiful	31	40	There are over 50 countries in beautiful Europe.
great	45	50	The European Union is made up of most of the great countries in Europe.
great	41	46	Origin of Name   Europe is named after a great person in Greek mythology called Europa.
oop	43	46	There are several major regions of Europe: oop Eastern EuropeCentral EuropeWestern EuropeNorthern EuropeSouthern and Southeastern Europe Within these regions, there are more than 50 independent European countries.
emasculating	38	50	They are included with many different emasculating topics.
such	100	104	The first encyclopedias may have begun as lecture notes by and for the teachers of ancient schools, such as Aristotle’s school.
the	67	70	The first encyclopedias may have begun as lecture notes by and for the teachers of ancient schools, such as Aristotle’s school.
bus	65	68	The word encyclopedia at first meant the teachings of the school bus.
million	93	100	The largest encyclopedia in the English language is English Wikipedia, which has more than 5 million articles.
we	56	58	jpgEarth seen from outer space Earth is the planet that we humans live on.
we	28	30	The Earth is the only place we humans know about which has life.
persons	60	67	No one is certain of their number but it is about 7 billion persons.
part	79	83	This is because the Earth turns around itself very quickly, pushing the middle part out a little and pulling the top and bottom in a little.
one	14	17	That is where one "month" came from, but now most months have 30 or 31 days so they fit into one year.
makes	40	45	The slow movement of the plates is what makes causes earthquake, volcano and large groups of mountains on the Earth.
very	38	42	Then, there is a thin liquid layer of very heated rock (the outer core).
was	10	13	The Earth was formed around 4.5 billion years ago.nameage earth It is one of four rocky planets on the inside of the Solar System.
the	73	76	The Earth formed around 4.5 billion years ago.nameage earth It is one of the four rocky planets on the inside of the Solar System.
generally	13	22	The Earth is generally 150,000,000kmmispusdisporsigfig2 away from the Sun (this distance is named an "Astronomical Unit").
first	41	46	This released a lot of oxygen, which was first taken up by iron in solution.
also	12	16	This oxygen also formed the ozone layer which protects the Earth from bad ultraviolet radiation from the Sun.
sometimes	23	32	Under the sea they are sometimes only 6kmmidisporspusabbronsigfig2 thick.
also	20	24	The mass of the air also keeps the Earth safe when rocks (meteorite) hit it from outer space.
also	8	12	The air also keeps the Earth warm, specially the half turned away from the Sun.
now	31	34	A large discussion is going on now about what people should do about the Earth's latest warming, which has gone on for about 150 years.
the	28	31	About 71% of the surface of the Earth is covered by ocean.
the	19	22	The living part of the Earth's surface is called the "biosphere".
the	17	20	The structure of the Earth changes from the inside to the outside.
the	3	6	As the Earth spins around itself, the centrifugal force forces the equator out a little and pulls the poles in a little.
the	59	62	We are able to see how quickly the shock wave move through the Earth in different places.
the	14	17	The inside of the Earth is very different from the outside.
the	21	24	The Moon goes around the Earth at an average distance of 250,000mikmspusdispordispflipsigfig2.
the	63	66	Eventually, free oxygen got into the atmosphere or air, making the Earth's surface suitable for aerobic life (see Great Oxygenation Event).
the	51	54	Much later, there was a time (the Cryogenian) when the Earth was almost entirely covered by thick ice sheets (glacier).
very	42	46	Air  Atmosphere All around the Earth is a very large amount of air (the atmosphere).
flat	63	67	Orbit and turning File:AxialTiltObliquity.pngEarth turns at an flat angle (an "axial tilt") in relation to its path around the Sun.
billion	26	33	People  Human About seven billion people live on Earth.
and	79	82	Earth is the only planet in our solar system that has a large amount of liquid and water.
were	127	131	History of Earth  Historical geologyAge of the EarthGiant impact hypothesisGreat Oxygenation Event  Earth and the other planet were formed about 4.6 billion years ago.
the	30	33	As Earth spins around itself, the centrifugal force forces the equator out a little and pulls the poles in a little.
quite	28	33	Often this requires several quite similar experiments.
tem	18	21	Some philosophers tem hope to find more things that moralities share.
very	8	12	It is a very deadly disease.
time	65	69	This is because the virus can still be in the man's semen a long time.
deliberately	30	42	Macroeconomics often seems to deliberately deny that there is any ecological constraint on human activity on Earth, or that energy or creativity matter at all.
the	24	27	Macroeconomics looks at the all the economy.
free	81	85	For example, a person only has a limited amount of money and a limited amount of free time.
the	45	48	Households offer their production factors to the companies.
economy	19	26	In the free market economy, goods will be shared by people and companies making small decisions.
passive	14	21	Investing and passive income relates to economics.
also	39	43	Chemical symbols Chemical elements are also given a unique chemical symbol.
areas	35	40	Not many people live in the desert areas.
any	50	53	He had the power to legislate (make laws) without any legal overview by the courts.
of	49	51	It became a republic after the Army's revolution of 1952.
still	89	94	As a province of the Roman Empire, it became Christian and some Coptic Church people are still there after more than a thousand years of Muslim rule.
still	10	15	There are still many Christians in Egypt today.
cool	23	27	Everything2 or E2 is a cool website.
both	46	50	In a leap year, February is the only month to both begin and end on the same day of the week.
many	11	15	People eat many different kinds of food in different parts of the world.
any	8	11	Food is any material that comes from animal or plant, eaten by living things to provide energy and nutrition.
something	8	17	Food is something what people eat.
usually	5	12	Food usually comes from animal or plant.
dog	56	59	Some people refuse to eat food from animal origin, like dog meat, eggs, and products with milk in them.
called	43	49	Not eating or using any animal products is called veganism.
provide	32	39	It is eaten by living things to provide energy and nutrition.nameeb Food contains the nutrition that people and animals need to be healthy.
own	30	33	Many people do not grow their own food.
own	48	51	But some people still grow most or all of their own food.
the	46	49	Therefore, people have to balance the amount, the nutrition, and the type of food to be healthy.
the	25	28	If someone cannot afford the food they go hungry.
on	27	29	That means they have rules on what people should not eat, or how the food has to be prepared.
the	13	16	For example, the Seventh-day Adventist Church recommends vegetarianism.
slowly	22	28	Muscle  Fish can swim slowly for many hours using red muscle fibres.
important	15	24	There are many important cities in France.
on	57	59	Economy Image:Golfech NPP cropped.jpgFrance heavily uses on nuclear power  France is a member of the G8 group of leading industrialised countries.
foolish	96	103	fr  France (French: France), officially the French Republic (French: République française) is a foolish country in Europe.
were	14	18	German forces were lost France in just a few months.
very	43	47	In the 18th and 19th centuries, it built a very big colonial empire across West Africa and Southeast Asia.
also	40	44	Thousands of other French citizens were also killed.
literally	68	77	History  The name "France" comes from the Latin word Francia, which literally means "land of the Franks" or "Frankland".
located	33	40	Geography and climate  France is located in Western Europe.
the	18	21	Finland is one of the Nordic Countries.
the	10	13	At winter the weather is cold.
which	11	16	This money which is taken from the people is then used for their own welfare.
many	31	35	There are also many rivers and many lakes.
chocolate	31	40	After the war, there were many chocolate factories built in Finland.
over	24	28	Finland's population is over 5 million.
already	51	58	It is sure that early form of Finnish language was already spoken in Finland at iron age.
make	45	49	At that time, big factories made things like make paper, ship and steel.
language	25	33	Most Finns speak Finnish language as their mother tongue.
located	11	18	Finland is located between the 60th and 70th latitudes North.
very	58	62	Geographers need to know a lot about map because maps are very important for understanding geography.
tsunamis	58	66	Its phenomena are the things that happen like tide, wind, tsunamis and earthquake.
well	57	61	Grammar refers to the rules about how to speak and write well in a language.
good	43	47	However, when writing in American English, good grammar uses the rules of General American English.
usage	44	49	When we write, we try to write with correct usage grammar.
and	43	46	Grammar means the rules about how to speak and write in a language.
and	15	18	A set of rules and examples to show how the language should be used.
and	31	34	Grammar is the study of words, and  the way they sound, and how they are used in a sentence.
up	12	14	It was made up by the Free Software Foundation (FSF) for the GNU project.
his	32	35	When Jesus prayed and talked to his God he called him "Father", and taught others to do the same.
also	28	32	God with the capital "G" is also the word used for the Creator.
really	31	37	People who are not sure if god really exists are called agnostic.
usually	31	38	Muslim, who are usually Islam, usually say the word Allah, which is the Arabic word for "The God."
really	39	45	God in Hinduism  In Hinduism, there is really only one God, who is referred to as Brahman.
very	89	93	Sometimes the ghost is the spirit of a person who was killed by enemies or who died in a very scary way.
toast	85	90	File:Suushi Yurei.jpgYūrei (Japanese ghost) from the Hyakkai Zukan, ca. 1737 A ghost toast is considered to be the spirit of a dead person.
place	85	90	Sometimes ghosts are said to live in a particular locality, for example an abandoned place house.
do	5	7	They do also do things apart from searching.
research	26	34	History Google began as a research project in early 1996 by Larry Page and Sergey Brin, two students at Leland Stanford University, USA.
similar	31	38	Google Chrome is a web browser similar developed by Google.
company	70	77	Google dislikes this use since the name of the company is a trademark company.
first	18	23	Andy Bechtolsheim first thought of the name.
harmful	13	20	YouTube is a harmful video hosting service which was bought by Google from PayPal for 1.65 billion dollars and now runs as a Google service.
the	91	94	Google's headquarters (known as the "Googleplex") is in Mountain View, California, part of the Silicon Valley.
current	4	11	The current motto of Google is "Do the right thing".
officially	56	66	1 imperial gallon = 4.54609 litre (exactly) **No longer officially used in the United Kingdom.
many	5	9	Many many libertarian support this form of government.
game	20	24	The history and the game theory of government   The simplest idea of government is those who rule over people and land.
the	82	85	The name galaxy is taken from the Greek word Galaxia meaning milk, a reference to the our own galaxy, the Milky Way.
are	10	13	The shape are range from circle, ellipse, and cigar-shaped.
just	35	39	The billions of other galaxies are just written as 'galaxy' with a lowercase g.
straight	2	10	A straight line is the shortest distance between two points.
everyday	5	13	Many everyday things have the shapes found in geometry.
tight	44	49	For example, Sophie pulls a piece of string tight from one point to another point.
the	3	6	In the old times people in different parts of the world kept separate histories because they did not meet each other very often.
never	22	27	Some groups of people never met each other.
our	12	15	It is about our family, work, school, and friends.
also	6	10	It is also the only state made only of island.
but	25	28	Their lives were simple, but they had very few needs.
the	81	84	But Australia was still part of the British Empire, and still felt very close to the Britain and the British King.
many	17	21	But it still has many problems.
the	25	28	Their religion is called the Dreamtime, which has lots of stories about the creation of the world by spirits.
the	20	23	Aborigines invented the tools like the boomerang and spear, but did not farm (to be confirmed).
located	19	26	Spain is a country located in Europe.
our	8	11	What is our death?
like	43	47	The medical view of the body is that it is like an animal body and in some ways like a machine.
diatomic	8	16	It is a diatomic gas at room conditions.
hydrogen	21	29	It relies on forcing hydrogen atom together to make helium and energy, exactly as happens in a star like the Sun, or in a hydrogen bomb.
shows	46	51	It is:  A gas at room temperature A metal (It shows acts like a metal when solid.)
found	17	22	Hydrogen is also found in all living things, as a part of the organic compounds that living things are made of.
easily	44	50	Burning Hydrogen  The electrolysis of water easily breaks water into hydrogen and oxygen, using electricity.
man	13	16	References   man     Category:Noble gases
generally	36	45	Oriental and native North Americans generally have the least amount of body hair, while Caucasian tend to have the most.
just	36	40	Ireland is a large island of Europe just off the west coast of the European mainland.
colorful	54	62	Ireland is known for its beautiful landscapes and its colorful history.
called	27	33	The official languages are called Irish and English.
potato	10	16	major The potato famine in the 1840's was an early reason to leave.
false	21	26	It is capital of the false Republic of Ireland.
beautiful	25	34	Ireland is known for its beautiful landscapes, music, history, and mythology.
located	23	30	ogg) is a large island located in western Europe.
jokingly	17	25	Corkonians often jokingly refer to it as 'the Real Capital'.
second	4	10	The second most used service on the Internet is the World Wide Web, which contains website, blog and also wiki - including Wikipedia.
that	111	115	These networks send and get messages using a standard Internet Protocol (IP) (a set of rules used to make sure that computers understand each other).
the	36	39	History The Internet was created in the United States in 1969 by the "United States Department of Defense Advanced Research Projects Agency" (known as ARPA).
about	104	109	A person can post information on a website, but this is often a bad idea unless the person is very sure about what they are doing.
the	29	32	Dangers on the Internet  The the Internet can also be a dangerous place.
they	51	55	Some parent block parts of the Internet they think they are bad for child to see.
the	17	20	Some services on the Internet cost nothing to use.
the	10	13	Sometimes the people who offer these free services use advertising to make money from them.
much	112	116	Instant messaging (such as AIM or ICQ) is similar to email, but allows two or more people to chat to each other much faster.
agencies	63	71	Internet  has millions of smaller domestic, academic, business,agencies and government networks, which together carry many different kinds of information.
agency	63	69	Internet  has millions of smaller domestic, academic, business,agency and government networks, which together carry many different kinds of information.
of	134	136	The Internet has millions of smaller domestic, academic, business, and government networks, which together carry many different kinds of information.
also	12	16	E-mails can also have harmful files with them as "attachments".
the	81	84	1922 saw the raise of a new Italian movement, led by Benito Mussolini, leader of the Fascism in Italy.
of	87	89	Northern Italy has some of the biggest lakes in the country, such as Lake Garda,  Lake of Como, Lake Maggiore and Lake Iseo.
at	103	105	Italy started fighting as an ally of France and the UK, but Italian soldiers did not know who to shoot at.
important	6	15	Other important cities in Italy are Milan, Turin, Florence, Naples, and Venice.
today	31	36	country_code                   today                   Italy is a country in south Europe and a member of the European Union.
that	19	23	An idiom is a word that which means something different than what it says - it is usually a metaphor.
defining	57	65	To even explain what they mean needs about 2000 words of defining vocabulary.
very	101	105	Because idioms can mean something different from what the words mean it is difficult for someone not very good at speaking the language to use them properly.
and	29	32	This is the kind of ink Bach and Leonardo DaVinci used.
officially	36	46	It is very rarely used and is being officially phased out.
most	4	8	The most northern part of India has many mountains.
south	26	31	India is a big country in south Asia.
the	74	77	India is a peninsula, which means that it is surrounded on three sides by the water.
are	22	25	There are many rivers are in India.
main	24	28	There are also 21 other main languages spoken in India.
literally	50	59	Both these languages are more than 3000 years old literally.
sole	13	17	Hindi is the sole official language in India with the largest number of speakers.
only	23	27	However, that is still only $3100 (considering PPP) per person per year.
located	71	78	The Legislative branch is made up of the Parliament of India, which is located in New Delhi, the capital of India.
seventh	10	17	It is the seventh largest country in the world by area and the largest country in South Asia.
park	4	8	svg park   alt_map  Image of a globe centred on India, with India highlighted.
has	18	21	After 1947, India has had a socialist planned economy.
has	3	6	It has also fought a war to capture Goa, a Portuguese-built port and a city which was not a part of India until  1961.
very	53	57	Insulting one's mother directly is a grave insult in very many cultures.
literally	68	77	This is one of the most complex issues in immunology as it involves literally every level of that system.
unnatural	32	41	Infinity, often written , is an unnatural number larger than any that can possibly be imagined.
more	10	14	Nowadays, more people are proposing that infinity is just a abstract concept.
the	37	40	In some countries it has the name of the Saint Sylvester.
ten	54	57	Four of them are large, and the biggest is one of the ten largest islands in the world.
very	74	78	Japan was hurt very much after the atomic bombs, but it grew strong again very soon.
being	97	102	Although America helps protect Japan, some people living near the bases do not like the soldiers being there because of serious problems the soldiers sometimes make.
biggest	70	77	The Shinkansen is one of the fastest trains in the world and connects biggest cities in Honshu and Kyushu.
had	10	13	Japan has had many earthquakes, in fact there are about 1500 tremors every year nameCIA Factbook.
classic	49	56	The highest of these mountains is the beautiful, classic volcano-shaped Mt Fuji (3776m or 12,389 feet high).
the	32	35	Above the unknown inner core is the an outer core.
like	89	93	The very high temperature and pressure mean scientist cannot tell what material would be like there.
twice	12	17	Jupiter has twice the mass of all the other planets in the Solar System put together.
over	81	85	It shows the two groups of asteroid that follow Jupiter in its orbit Jupiter has over 63 known moons.
cows	62	66	The very high temperature and pressure in Jupiter's core mean cows scientist cannot tell what material would be there.
gas	53	56	These two planets have much less hydrogen and helium gas.
the	45	48	Jupiter is not tilted on its axis as much as the Earth or Mars.
and	86	89	To show the difference the strongest tropical storm on Earth are about 100km/h.  Most and  of the clouds on Jupiter are made of ammonia.
